Time (seconds),temp,Light
52.91,23,109
56.09,23,134
58.71,23,183
61.34,23,185
63.96,23,109
66.58,23,180
69.21,23,167
71.83,23,102
74.46,23,102
77.08,23,185
79.70,23,185
82.33,23,118
84.95,23,125
87.58,23,177
90.20,23,145
92.83,23,150
95.45,23,101
98.07,23,101
100.72,23,102
103.34,23,101
105.96,23,176
108.59,23,166
111.21,23,101
113.84,23,171
116.46,23,123
119.08,23,184
121.71,23,182
124.33,23,100
126.96,23,171
129.58,23,119
132.20,23,106
134.83,23,178
137.45,23,100
140.08,23,182
142.70,23,102
145.32,23,106
147.96,23,115
150.59,23,180
153.21,23,100
155.84,23,182
158.46,23,102
161.08,23,101
163.71,23,125
166.33,23,108
168.96,24,181
171.58,23,100
174.20,24,99
176.83,23,140
179.46,24,120
182.08,23,182
184.70,24,100
187.33,24,102
189.95,24,126
192.58,24,109
195.20,24,180
197.84,24,100
200.47,24,161
203.09,24,154
205.72,24,100
208.34,24,100
210.96,24,164
213.59,24,100
216.21,24,99
218.84,24,141
221.46,24,117
224.08,24,181
226.71,24,159
229.33,24,156
231.96,24,181
234.58,24,114
237.20,24,182
239.83,24,179
242.45,24,100
245.10,24,178
247.72,24,101
250.34,24,99
252.97,24,156
255.59,24,128
258.22,24,182
260.84,24,160
263.47,24,180
266.09,24,102
268.72,24,99
271.34,24,132
273.96,24,112
276.59,24,181
279.21,24,99
281.84,24,99
284.46,24,153
287.08,24,148
289.71,24,101
292.33,24,103
294.98,24,102
297.60,24,120
300.22,24,141
302.85,24,138
305.47,24,147
308.10,24,144
310.72,24,151
313.34,24,98
315.97,24,98
318.59,24,171
321.22,24,170
323.84,24,98
326.46,24,158
329.09,24,140
331.71,24,180
334.34,24,181
336.96,24,101
339.58,24,98
342.23,24,98
344.85,24,156
347.48,24,131
350.10,24,167
352.73,24,122
355.35,24,153
357.98,24,162
360.60,24,98
363.22,24,98
365.85,24,177
368.47,24,102
371.10,24,107
373.72,24,181
376.34,24,182
378.97,24,124
381.59,24,138
384.22,24,98
386.84,24,98
389.46,24,177
392.11,24,102
394.73,24,182
397.36,24,114
399.98,24,114
402.60,24,181
405.23,24,181
407.85,24,100
410.48,24,98
413.10,24,157
415.72,24,164
418.35,24,100
420.97,24,181
423.60,24,181
426.22,24,0
